Category,Year,King County,Snohomish County
Assault,1990,,
Assault,1990,,
Assault,1990,,0
Assault,1990,,0
Assault,1990,,167
Assault,1990,,89
Assault,1990,,4.7
Assault,1990,,28
Assault,1990,,39.4
Assault,1990,,0
Assault,1990,,
Assault,1990,,
Assault,1990,,
Assault,1990,,0
Assault,1990,,0
Assault,1990,,167
Assault,1990,,89
Assault,1990,,4.7
Assault,1990,,28
Assault,1990,,39.4
Assault,1990,,0
Assault,1990,,
Assault,1990,,
Assault,1990,,
Kidnapping_Abduction,1990,0,0
Kidnapping_Abduction,1990,0,0
Kidnapping_Abduction,1990,0,0
Kidnapping_Abduction,1990,0,
Kidnapping_Abduction,1990,0,
Kidnapping_Abduction,1990,0,
Kidnapping_Abduction,1990,0,0
Kidnapping_Abduction,1990,0,0
Kidnapping_Abduction,1990,0,0
Kidnapping_Abduction,1990,0,
Kidnapping_Abduction,1990,0,
Kidnapping_Abduction,1990,0,
Kidnapping_Abduction,1990,0,0
Kidnapping_Abduction,1990,0,0
Kidnapping_Abduction,1990,0,0
Kidnapping_Abduction,1990,0,
Kidnapping_Abduction,1990,0,
Kidnapping_Abduction,1990,0,
Kidnapping_Abduction,1990,,0
Kidnapping_Abduction,1990,,0
Kidnapping_Abduction,1990,,0
Kidnapping_Abduction,1990,,
Kidnapping_Abduction,1990,,
Kidnapping_Abduction,1990,,
Kidnapping_Abduction,1990,,0
Kidnapping_Abduction,1990,,0
Kidnapping_Abduction,1990,,0
Kidnapping_Abduction,1990,,
Kidnapping_Abduction,1990,,
Kidnapping_Abduction,1990,,
Kidnapping_Abduction,1990,,0
Kidnapping_Abduction,1990,,0
